Environment,Seed,Step,Reward,Runtime_Hours,Runtime_seconds
HopperStand,43,26,138.6794739,0.146758497,528.3305874
HopperStand,43,33,188.0343323,0.146758497,528.3305874
HopperStand,43,40,266.7833252,0.146758497,528.3305874
HopperStand,43,46,272.3024292,0.146758497,528.3305874
HopperStand,43,53,325.4315186,0.146758497,528.3305874
HopperStand,43,60,474.1919556,0.146758497,528.3305874
WalkerStand,43,0,135.6062012,0.166687483,600.0749388
WalkerStand,43,6,375.058197,0.166687483,600.0749388
WalkerStand,43,13,573.0460815,0.166687483,600.0749388
WalkerStand,43,20,753.2087402,0.166687483,600.0749388
WalkerStand,43,26,942.9005127,0.166687483,600.0749388
WalkerStand,43,33,924.4189453,0.166687483,600.0749388
WalkerStand,43,40,938.6401367,0.166687483,600.0749388
WalkerStand,43,46,950.0274658,0.166687483,600.0749388
WalkerStand,43,53,869.0969238,0.166687483,600.0749388
WalkerStand,43,60,930.6312256,0.166687483,600.0749388
WalkerRun,43,0,24.13074493,0.170026133,612.0940781
WalkerRun,43,6,74.43702698,0.170026133,612.0940781
WalkerRun,43,13,144.2396088,0.170026133,612.0940781
WalkerRun,43,20,219.9786377,0.170026133,612.0940781
WalkerRun,43,26,392.3533936,0.170026133,612.0940781
WalkerRun,43,33,522.539856,0.170026133,612.0940781
WalkerRun,43,40,561.8512573,0.170026133,612.0940781
WalkerRun,43,46,611.9503174,0.170026133,612.0940781
WalkerRun,43,53,645.2850342,0.170026133,612.0940781
WalkerRun,43,60,642.5908203,0.170026133,612.0940781
WalkerWalk,43,0,33.7306366,0.172244769,620.0811678
WalkerWalk,43,6,196.2704163,0.172244769,620.0811678
WalkerWalk,43,13,468.7466431,0.172244769,620.0811678
WalkerWalk,43,20,845.128418,0.172244769,620.0811678
WalkerWalk,43,26,936.5270996,0.172244769,620.0811678
WalkerWalk,43,33,937.6113892,0.172244769,620.0811678
WalkerWalk,43,40,931.560791,0.172244769,620.0811678
WalkerWalk,43,46,931.1930542,0.172244769,620.0811678
WalkerWalk,43,53,853.7429199,0.172244769,620.0811678
WalkerWalk,43,60,837.6072388,0.172244769,620.0811678
FingerSpin,44,0,0.171875,0.109541404,394.3490546
FingerSpin,44,6,63.53125,0.109541404,394.3490546
FingerSpin,44,13,360.7109375,0.109541404,394.3490546
FingerSpin,44,20,522.3984375,0.109541404,394.3490546
